"ID" "Lane.RNAseq" "Ind.ID" "Sample.Name" "line" "diet" "RIN.before.GD" "RIN.after.GD" "Conc.after.GD.ng.ul." "date.RNA.extraction" "date.GD" "RFI.value"
"1" 208001807 6 3320 1807 1 1 8 6.2 101 "11/16/2012" "12/6/2012" -0.524189017
"2" 208001209 6 3321 1209 1 1 7.6 6 50 "11/14/2012" "11/28/2012" -0.446828507
"3" 208004306 6 3322 4306 1 1 6.6 6.4 33 "1/8/2013" "2/14/2013" -0.343340019
"4" 208002407 6 3323 2407 1 2 7.2 6.2 82 "11/14/2012" "11/28/2012" -0.226450265
"5" 208000908 6 3324 908 1 2 7.8 6.5 87 "11/16/2012" "12/13/2012" -0.108269497
"6" 208002606 6 3325 2606 1 2 9.1 6.9 64 "11/14/2012" "11/28/2012" 0.073388921
"7" 208003712 6 3326 3712 2 1 6.1 6.1 48 "1/8/2013" "2/14/2013" 0.196543016
"8" 208003106 6 3327 3106 2 1 7.8 5.5 120 "11/16/2012" "12/6/2012" 0.273267001
"9" 208003908 6 3328 3908 2 1 7.3 4.9 67 "11/14/2012" "11/28/2012" 0.232345105
"10" 208000407 6 3329 407 2 2 6.9 6.7 47 "1/8/2013" "2/14/2013" 0.311759551
"11" 208003710 6 3330 3710 2 2 6.8 4.9 95 "11/16/2012" "12/17/2012" -0.493372781
"12" 208005209 6 3331 5209 2 2 7.8 6.6 86 "11/16/2012" "12/13/2012" 0.222829171
"13" 208004810 7 3332 4810 1 1 8.7 5.5 32 "11/16/2012" "12/6/2012" -0.252077188
"14" 208001906 7 3333 1906 1 1 7.3 5.7 87 "11/14/2012" "11/28/2012" -0.318815736
"15" 208004210 7 3334 4210 1 1 7.7 7.2 45 "1/8/2013" "2/14/2013" -0.330464069
"16" 208002906 7 3335 2906 1 2 7.4 6 104 "11/16/2012" "12/6/2012" -0.095390138
"17" 208002508 7 3336 2508 1 2 7.4 7.6 47 "1/8/2013" "2/14/2013" 0.011296568
"18" 208000311 7 3337 311 1 2 7.5 7.1 45 "11/14/2012" "2/14/2013" 0.181307829
"19" 208000210 7 3338 210 2 1 6.7 6.5 41 "1/8/2013" "2/14/2013" 0.159034144
"20" 208002712 7 3339 2712 2 1 6.2 5.2 72 "11/14/2012" "11/28/2012" -0.446704108
"21" 208002107 7 3340 2107 2 1 7.3 5.4 112 "11/16/2012" "12/6/2012" -0.399398264
"22" 208005410 7 3341 5410 2 2 6.6 6.6 56 "1/8/2013" "2/14/2013" 0.40143189
"23" 208004708 7 3342 4708 2 2 6.8 6.3 82 "11/14/2012" "11/28/2012" 0.520511332
"24" 208005606 7 3343 5606 2 2 7 6.1 67 "11/14/2012" "11/28/2012" 0.506228782
