Anim	ear	iddam	idsire	dam	sex	line	gen	bwt	fost_dam	wwt	sire	f_date	w_date	bleed_date	bleedage	wbc	rbc	hemoglobin	hematocrit	mcv	mch	mchc	rdw	platelet	mpv	neutrophil	lymphocyte	monocyte	eosinophil	basophil	unidentifiedcells	plateletsclumped	rfip	group	pen	diet	onagedev	weantobleed
208000103	103	107000406	107013002	406	3	2	8	2.9	.	15	13002	7/17/2011	8/11/2011	8/26/2011	40	19.01	5.85	9.1	31.2	53.3	15.6	29.2	24	642	9.3	11.46	6.58	0.59	0.11	0.02	0.25	Yes	.	.	.	.	.	15
208000104	104	107000406	107013002	406	3	2	8	2.9	.	12.5	13002	7/17/2011	8/11/2011	8/26/2011	40	22.27	6.08	9.6	32.4	53.3	15.9	29.8	19.1	545	10	14.43	6.86	0.51	0.09	0.02	0.36	Yes	0.468186371	55	2	2	96	15
208000105	105	107000406	107013002	406	3	2	8	2.5	.	14	13002	7/17/2011	8/11/2011	8/26/2011	40	18.12	6.24	10.3	34.2	54.8	16.5	30.2	18.7	479	9.2	11.25	5.87	0.82	0.11	0.02	0.05	Yes	1.008175025	55	1	1	96	15
208000106	106	107000406	107013002	406	2	2	8	2.1	.	11	13002	7/17/2011	8/11/2011	8/26/2011	40	15.4	6.17	10.2	33.6	54.3	16.5	30.4	20.1	576	9.8	8.72	5.62	0.63	0.12	0.02	0.29	No	1.128508867	55	1	1	96	15
208000107	107	107000406	107013002	406	2	2	8	2.9	.	12.5	13002	7/17/2011	8/11/2011	8/26/2011	40	14.32	6.26	10.6	35.5	56.6	16.9	29.8	20.1	499	10.1	4.25	8.75	0.73	0.44	0.04	0.1	Yes	.	.	.	.	.	15
208000110	110	107000406	107013002	406	2	2	8	3.1	.	13	13002	7/17/2011	8/11/2011	8/26/2011	40	15	6.3	10.1	34.1	54.1	16.1	29.7	18.3	617	9.9	3.77	10.26	0.59	0.12	0.06	0.21	Yes	.	.	.	.	.	15
208000201	201	107009711	107009502	9711	3	2	8	3.2	.	15	9502	7/17/2011	8/11/2011	8/26/2011	40	24.8	5.43	9.2	30.5	56.1	17	30.3	20.9	438	9.5	16.44	7.12	0.45	0.22	0.05	0.55	Yes	.	.	.	.	.	15
208000204	204	107009711	107009502	9711	3	2	8	3.3	.	16	9502	7/17/2011	8/11/2011	8/26/2011	40	20.16	5.73	10.3	33.5	58.4	18	30.8	18.5	625	9.5	13.12	6.47	0.2	0.1	0.02	0.24	Yes	.	.	.	.	.	15
208000207	207	107009711	107009502	9711	2	2	8	3.1	.	15	9502	7/17/2011	8/11/2011	8/26/2011	40	16.54	6.34	10.4	35.1	55.4	16.4	29.5	19.1	450	11.5	9.71	5.97	0.56	0.22	0.02	0.05	Yes	.	.	.	.	.	15
208000209	209	107009711	107009502	9711	2	2	8	3	.	13	9502	7/17/2011	8/11/2011	8/26/2011	40	17.69	5.72	9.6	32.9	57.6	16.7	29	19.3	579	10.6	7.02	8.67	1.61	0.23	0.07	0.09	Yes	0.259066604	55	2	2	96	15
208000210	210	107009711	107009502	9711	2	2	8	2.8	.	14.5	9502	7/17/2011	8/11/2011	8/26/2011	40	17.53	6.18	10.3	35	56.7	16.6	29.3	18.9	633	10.1	8.85	7.91	0.35	0.09	0.04	0.32	Yes	1.584104931	55	1	1	96	15
208000301	301	107017008	107015901	17008	3	1	8	3.7	.	14	15901	7/18/2011	8/11/2011	8/26/2011	39	12.12	6.62	10.5	34.7	52.4	15.8	30.2	21.9	694	8.3	6	5.37	0.42	0.16	0.02	0.15	Yes	-1.30665122	55	2	2	95	15
208000302	302	107017008	107015901	17008	3	1	8	3	.	13	15901	7/18/2011	8/11/2011	8/26/2011	39	11.1	6.46	10.1	32.8	50.7	15.6	30.8	21.7	836	9.2	6.58	3.91	0.23	0.13	0.01	0.24	Yes	-0.706597258	55	1	1	95	15
208000307	307	107017008	107015901	17008	3	1	8	2.4	.	12	15901	7/18/2011	8/11/2011	8/26/2011	39	19.23	6.69	10.4	34	50.9	15.6	30.6	22.8	807	8.6	10.77	7.67	0.29	0.13	0.02	0.33	Yes	.	.	.	.	.	15
208000310	310	107017008	107015901	17008	2	1	8	2.7	.	13	15901	7/18/2011	8/11/2011	8/26/2011	39	13.72	7.08	11.6	38.2	53.9	16.3	30.3	20.2	699	9.7	4.65	8.16	0.58	0.26	0.03	0.04	Yes	-0.748277609	55	1	1	95	15
