X1209	 X1807	 X1906	 X2107	 X210	 X2407	 X2508	 X2606	 X2712	 X2906	 X3106	 X311	 X3710	 X3712	 X3908	 X407	 X4210	 X4306	 X4708	 X4810	 X5209	 X5410	 X5606	 X908
ENSSSCG00000007760	 33	 25	 94	 47	 73	 38	 78	 30	 32	 63	 26	 35	 94	 33	 54	 126	 63	 69	 26	 20	 79	 18	 17	 40
ENSSSCG00000029157	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000029158	 845	 945	 1734	 1783	 2248	 606	 1549	 981	 768	 2227	 933	 1086	 2969	 864	 1087	 2577	 1397	 1169	 802	 1649	 1918	 706	 518	 841
ENSSSCG00000007762	 195	 279	 772	 498	 620	 260	 582	 231	 206	 639	 235	 382	 797	 306	 312	 991	 546	 384	 283	 276	 757	 228	 153	 287
ENSSSCG00000014490	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000029159	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000007763	 125	 190	 531	 282	 546	 174	 440	 135	 162	 421	 108	 287	 560	 266	 223	 833	 323	 288	 265	 148	 398	 226	 106	 123
ENSSSCG00000014491	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000007764	 32	 40	 88	 78	 79	 45	 91	 34	 47	 72	 34	 41	 139	 40	 65	 89	 39	 60	 54	 34	 180	 33	 22	 49
ENSSSCG00000014492	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000007765	 5	 1	 8	 2	 5	 8	 4	 5	 9	 9	 1	 4	 10	 2	 6	 16	 5	 7	 1	 2	 17	 3	 1	 5
ENSSSCG00000014493	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025420	 0	 0	 1	 0	 0	 2	 0	 0	 0	 1	 0	 1	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0
ENSSSCG00000025421	 0	 7	 2	 1	 8	 2	 10	 2	 0	 4	 0	 7	 0	 6	 0	 9	 5	 7	 7	 0	 4	 1	 1	 8
ENSSSCG00000007767	 58	 50	 194	 139	 147	 42	 113	 47	 68	 163	 50	 79	 208	 68	 101	 194	 77	 71	 80	 82	 178	 51	 40	 62
ENSSSCG00000025422	 5	 3	 11	 3	 11	 5	 3	 6	 3	 8	 2	 8	 13	 5	 6	 9	 6	 2	 2	 12	 15	 1	 3	 3
ENSSSCG00000007768	 240	 261	 709	 543	 578	 256	 493	 218	 282	 490	 234	 307	 1233	 266	 578	 804	 332	 269	 290	 306	 1097	 221	 212	 453
ENSSSCG00000014496	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025423	 33	 30	 62	 53	 36	 16	 24	 19	 28	 92	 23	 53	 142	 46	 65	 64	 42	 27	 37	 33	 86	 12	 14	 34
ENSSSCG00000025424	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025425	 243	 351	 899	 506	 897	 349	 792	 360	 309	 1001	 212	 707	 824	 547	 347	 1461	 1016	 641	 460	 397	 981	 340	 156	 319
ENSSSCG00000014499	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025426	 20	 14	 24	 22	 39	 8	 33	 17	 15	 31	 9	 17	 29	 20	 11	 58	 26	 27	 23	 25	 33	 16	 7	 11
ENSSSCG00000025427	 14	 52	 46	 38	 51	 26	 68	 54	 16	 58	 13	 41	 45	 56	 19	 152	 74	 19	 36	 48	 159	 9	 11	 35
ENSSSCG00000025428	 0	 3	 2	 1	 3	 2	 3	 2	 2	 4	 2	 0	 3	 1	 1	 4	 2	 3	 0	 1	 13	 0	 0	 2
ENSSSCG00000010760	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025429	 24	 73	 49	 47	 106	 27	 221	 51	 23	 96	 19	 75	 42	 93	 33	 401	 132	 48	 38	 77	 149	 49	 23	 56
ENSSSCG00000010761	 1	 2	 3	 0	 5	 4	 1	 0	 1	 3	 1	 2	 3	 4	 5	 3	 1	 4	 1	 1	 10	 1	 0	 6
ENSSSCG00000010762	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0
ENSSSCG00000000250	 1	 6	 9	 4	 6	 4	 2	 5	 2	 8	 2	 4	 13	 5	 1	 4	 8	 2	 3	 3	 10	 1	 2	 5
ENSSSCG00000000251	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000010764	 0	 0	 2	 0	 3	 1	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 1	 2	 1	 0	 0	 1	 0	 0
ENSSSCG00000000252	 0	 0	 1	 0	 1	 0	 0	 0	 0	 6	 2	 0	 0	 2	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0
ENSSSCG00000010765	 537	 383	 1318	 784	 979	 386	 878	 397	 848	 1175	 481	 535	 1415	 433	 919	 1475	 1111	 591	 450	 746	 1298	 485	 370	 973
ENSSSCG00000000253	 0	 0	 1	 0	 3	 0	 0	 3	 0	 12	 6	 0	 1	 2	 6	 4	 0	 0	 2	 3	 2	 0	 4	 1
ENSSSCG00000000254	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000010767	 0	 0	 0	 0	 1	 1	 1	 0	 1	 3	 0	 0	 0	 0	 0	 0	 0	 3	 1	 1	 2	 0	 0	 1
ENSSSCG00000010768	 30	 39	 60	 18	 58	 15	 29	 27	 27	 145	 17	 31	 44	 26	 9	 95	 70	 61	 37	 51	 88	 17	 18	 18
ENSSSCG00000000256	 36	 60	 119	 53	 152	 50	 133	 49	 22	 126	 22	 82	 83	 74	 21	 222	 127	 74	 63	 37	 106	 43	 21	 25
ENSSSCG00000000257	 5217	 5981	 20826	 11944	 14889	 6311	 10291	 5262	 5650	 13245	 4249	 8438	 18009	 6547	 9533	 19676	 9457	 7828	 5997	 7250	 13581	 5602	 3602	 7563
ENSSSCG00000000258	 81	 139	 272	 93	 365	 179	 444	 108	 125	 521	 46	 217	 148	 242	 67	 589	 242	 164	 294	 118	 274	 189	 128	 105
ENSSSCG00000000259	 75	 65	 299	 173	 172	 90	 131	 111	 63	 196	 77	 118	 254	 78	 138	 277	 157	 107	 113	 115	 278	 63	 44	 103
ENSSSCG00000028970	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 85	 0	 0	 2
ENSSSCG00000028971	 395	 440	 1375	 995	 925	 420	 611	 449	 610	 978	 473	 450	 1992	 504	 915	 1049	 662	 553	 554	 705	 1683	 357	 317	 757
ENSSSCG00000028972	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000018460	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000028973	 210	 225	 511	 433	 379	 181	 276	 191	 144	 331	 160	 232	 715	 173	 364	 421	 222	 189	 215	 266	 593	 133	 127	 280
ENSSSCG00000018461	 1	 0	 6	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 1	 0
ENSSSCG00000028974	 32	 30	 82	 43	 42	 19	 48	 38	 32	 49	 26	 29	 101	 22	 41	 59	 42	 35	 20	 43	 113	 19	 23	 45
ENSSSCG00000018462	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025190	 3	 10	 10	 8	 15	 6	 12	 7	 3	 17	 6	 10	 12	 5	 6	 9	 11	 6	 5	 9	 11	 5	 5	 9
ENSSSCG00000028975	 22	 18	 55	 43	 37	 13	 20	 19	 18	 39	 27	 15	 73	 11	 41	 45	 35	 15	 23	 51	 84	 6	 14	 22
ENSSSCG00000018463	 1	 0	 0	 0	 0	 1	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0
ENSSSCG00000025191	 32	 39	 76	 59	 104	 23	 101	 50	 24	 66	 34	 68	 77	 51	 61	 200	 73	 27	 56	 82	 155	 36	 17	 100
ENSSSCG00000028976	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 2	 0
ENSSSCG00000025192	 3741	 3285	 9153	 5922	 4619	 2629	 3356	 3371	 4717	 6633	 2696	 3506	 13196	 1792	 8211	 4969	 2032	 2502	 3001	 5584	 10231	 1704	 2094	 4702
ENSSSCG00000028977	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 2	 0	 1	 0	 0	 1
ENSSSCG00000025193	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000028978	 44	 90	 133	 53	 183	 45	 132	 44	 49	 242	 25	 114	 106	 118	 30	 232	 153	 87	 111	 69	 103	 69	 23	 29
ENSSSCG00000018466	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025194	 211	 193	 408	 298	 290	 142	 413	 199	 126	 396	 144	 184	 549	 198	 490	 811	 252	 123	 179	 267	 534	 136	 144	 375
ENSSSCG00000028979	 29	 50	 78	 35	 132	 36	 109	 74	 30	 127	 19	 96	 61	 72	 30	 218	 96	 56	 83	 62	 129	 46	 25	 60
ENSSSCG00000018467	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025195	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000018468	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025196	 60	 174	 95	 57	 557	 47	 442	 38	 62	 547	 40	 319	 87	 294	 6	 1033	 506	 283	 202	 103	 57	 180	 57	 15
ENSSSCG00000025197	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025198	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025199	 18	 21	 52	 34	 40	 14	 40	 33	 58	 74	 44	 29	 40	 17	 23	 106	 89	 100	 43	 22	 82	 16	 13	 56
ENSSSCG00000014730	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000021460	 0	 1	 2	 1	 0	 0	 1	 0	 1	 2	 0	 0	 1	 1	 0	 2	 1	 1	 0	 2	 1	 1	 0	 3
ENSSSCG00000004220	 185	 178	 364	 283	 200	 144	 145	 229	 106	 285	 167	 152	 493	 120	 308	 292	 168	 157	 138	 263	 432	 71	 105	 210
ENSSSCG00000021461	 346	 387	 848	 907	 965	 322	 570	 291	 352	 809	 404	 507	 1814	 423	 577	 1141	 561	 421	 398	 495	 1018	 387	 215	 553
ENSSSCG00000004221	 83	 69	 161	 161	 104	 61	 101	 111	 68	 109	 60	 68	 226	 55	 94	 149	 83	 84	 72	 124	 318	 42	 39	 74
ENSSSCG00000014734	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000021462	 0	 8	 5	 4	 3	 3	 7	 14	 4	 22	 2	 5	 14	 2	 0	 13	 6	 2	 5	 10	 12	 1	 1	 8
ENSSSCG00000004222	 708	 619	 1556	 1077	 1249	 388	 1030	 1290	 1642	 1328	 715	 666	 1406	 621	 882	 2025	 1309	 743	 659	 1128	 1705	 593	 684	 889
ENSSSCG00000021463	 0	 0	 4	 4	 3	 0	 3	 0	 2	 5	 0	 2	 2	 4	 2	 7	 3	 6	 1	 5	 1	 3	 0	 0
ENSSSCG00000004223	 6	 1	 10	 5	 1	 3	 7	 6	 2	 5	 3	 3	 11	 3	 4	 9	 16	 6	 4	 10	 7	 1	 2	 3
ENSSSCG00000021464	 59	 71	 109	 110	 137	 32	 142	 55	 46	 159	 63	 72	 256	 60	 117	 181	 99	 79	 68	 102	 270	 84	 40	 90
ENSSSCG00000004224	 121	 102	 283	 204	 198	 98	 121	 77	 105	 173	 101	 103	 419	 74	 162	 193	 88	 88	 128	 136	 314	 54	 70	 134
ENSSSCG00000021465	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000004225	 8	 14	 48	 25	 24	 15	 34	 16	 26	 46	 19	 30	 47	 28	 25	 62	 55	 29	 15	 42	 134	 10	 22	 51
ENSSSCG00000021466	 0	 1	 0	 5	 2	 0	 3	 6	 1	 3	 0	 1	 0	 3	 0	 3	 4	 1	 1	 2	 3	 0	 2	 1
ENSSSCG00000021467	 5	 3	 1	 1	 9	 5	 8	 1	 4	 6	 2	 2	 3	 0	 4	 9	 3	 1	 2	 4	 1	 6	 3	 5
ENSSSCG00000021468	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000021469	 5	 24	 18	 16	 37	 8	 38	 10	 3	 35	 7	 19	 22	 28	 9	 78	 50	 14	 7	 14	 15	 18	 6	 4
ENSSSCG00000029160	 4	 5	 8	 10	 3	 5	 4	 3	 8	 8	 5	 4	 11	 7	 3	 14	 1	 8	 2	 2	 10	 1	 1	 5
ENSSSCG00000029161	 286	 164	 887	 710	 487	 240	 315	 233	 270	 520	 187	 232	 763	 134	 384	 529	 263	 148	 352	 428	 1190	 132	 204	 412
ENSSSCG00000029162	 394	 362	 814	 686	 598	 312	 452	 441	 279	 655	 365	 398	 1190	 299	 643	 759	 420	 314	 380	 432	 1283	 202	 210	 501
ENSSSCG00000029163	 51	 71	 123	 113	 130	 38	 142	 61	 35	 125	 54	 78	 184	 87	 120	 186	 109	 66	 67	 83	 314	 41	 36	 90
ENSSSCG00000029164	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000029165	 15	 8	 34	 11	 11	 11	 34	 16	 4	 34	 9	 17	 23	 14	 6	 37	 18	 15	 17	 14	 23	 9	 4	 10
ENSSSCG00000029166	 42	 40	 114	 78	 106	 43	 83	 65	 43	 87	 48	 54	 160	 50	 56	 154	 84	 64	 48	 47	 132	 23	 29	 52
ENSSSCG00000007770	 176	 320	 577	 482	 1142	 279	 800	 181	 174	 934	 183	 805	 775	 543	 243	 1320	 738	 547	 459	 293	 365	 361	 145	 128
ENSSSCG00000029167	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1
ENSSSCG00000029168	 86	 179	 225	 134	 351	 148	 456	 147	 98	 410	 66	 208	 153	 240	 64	 1112	 374	 221	 250	 141	 406	 191	 110	 156
ENSSSCG00000007772	 2	 0	 0	 0	 1	 1	 0	 0	 0	 0	 2	 0	 1	 0	 0	 4	 0	 0	 0	 0	 1	 0	 0	 0
ENSSSCG00000029169	 27	 53	 107	 101	 115	 46	 107	 67	 36	 91	 50	 63	 107	 55	 52	 155	 90	 52	 61	 60	 192	 45	 34	 62
ENSSSCG00000007773	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000018700	 1	 1	 2	 2	 1	 0	 0	 0	 1	 2	 1	 3	 2	 1	 0	 2	 0	 1	 0	 0	 0	 0	 0	 2
ENSSSCG00000007774	 0	 0	 2	 2	 0	 1	 2	 4	 1	 1	 0	 2	 2	 1	 1	 2	 4	 1	 0	 0	 1	 0	 1	 0
ENSSSCG00000018701	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 2	 0	 0	 1	 0	 1	 0	 0	 0
ENSSSCG00000007775	 1	 0	 1	 0	 1	 1	 0	 0	 0	 1	 1	 1	 1	 1	 0	 0	 1	 0	 1	 0	 1	 1	 0	 0
ENSSSCG00000018702	 0	 1	 9	 5	 5	 4	 4	 1	 0	 2	 1	 0	 11	 0	 4	 8	 3	 3	 1	 5	 6	 1	 1	 0
ENSSSCG00000025430	 11	 26	 61	 19	 82	 24	 84	 24	 26	 103	 11	 53	 21	 51	 1	 158	 42	 24	 68	 23	 74	 29	 13	 17
ENSSSCG00000007776	 198	 192	 680	 503	 647	 219	 412	 189	 283	 462	 172	 332	 944	 343	 358	 700	 321	 250	 324	 223	 738	 255	 154	 286
ENSSSCG00000025431	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025432	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000007778	 5	 23	 31	 17	 60	 10	 32	 15	 12	 42	 11	 32	 14	 30	 11	 111	 25	 28	 26	 18	 26	 27	 6	 10
ENSSSCG00000018705	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025433	 1	 0	 4	 3	 3	 1	 3	 2	 0	 2	 5	 3	 1	 0	 1	 9	 2	 0	 3	 4	 6	 0	 1	 0
ENSSSCG00000025434	 57	 37	 66	 39	 55	 15	 13	 31	 11	 63	 18	 55	 74	 12	 58	 40	 30	 16	 36	 16	 32	 8	 14	 47
ENSSSCG00000025435	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000018708	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000025436	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 3	 0	 0	 0	 2	 0	 0	 0
ENSSSCG00000025437	 312	 334	 520	 367	 609	 230	 692	 287	 208	 629	 212	 414	 661	 364	 297	 983	 612	 398	 364	 394	 826	 230	 163	 365
ENSSSCG00000025438	 0	 1	 0	 0	 2	 1	 2	 0	 1	 2	 1	 1	 1	 2	 0	 1	 2	 0	 1	 0	 1	 0	 2	 2
ENSSSCG00000010770	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 1	 0
ENSSSCG00000025439	 1	 2	 3	 0	 3	 0	 1	 0	 2	 5	 1	 1	 2	 0	 0	 4	 4	 1	 1	 2	 2	 1	 2	 0
ENSSSCG00000010771	 0	 0	 0	 0	 1	 0	 0	 0	 1	 2	 0	 0	 0	 0	 0	 3	 1	 1	 1	 1	 1	 0	 0	 0
ENSSSCG00000010772	 522	 400	 1383	 1091	 771	 418	 1734	 485	 539	 1459	 279	 479	 1000	 467	 1002	 1501	 913	 416	 409	 794	 1289	 438	 353	 554
ENSSSCG00000000260	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 1	 0
ENSSSCG00000010773	 706	 728	 2667	 1320	 2403	 867	 1609	 670	 941	 2106	 741	 1224	 2653	 1190	 1266	 3000	 1807	 1005	 1028	 885	 2162	 794	 537	 882
ENSSSCG00000021700	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000000261	 7	 2	 17	 3	 7	 2	 2	 5	 3	 7	 3	 1	 5	 1	 5	 2	 4	 5	 3	 12	 113	 0	 1	 1
ENSSSCG00000010774	 139	 180	 525	 392	 586	 183	 399	 129	 234	 502	 164	 271	 710	 278	 295	 631	 325	 226	 219	 225	 519	 208	 128	 186
ENSSSCG00000021701	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ENSSSCG00000000262	 340	 398	 1165	 633	 895	 440	 881	 371	 396	 869	 300	 557	 1197	 527	 600	 1505	 636	 458	 493	 456	 1187	 365	 266	 481
ENSSSCG00000010775	 1	 2	 10	 1	 7	 2	 4	 1	 5	 1	 2	 2	 7	 7	 12	 8	 5	 0	 4	 0	 4	 2	 2	 2
ENSSSCG00000021702	 4	 1	 12	 4	 10	 1	 10	 5	 5	 13	 2	 6	 0	 5	 3	 21	 6	 5	 3	 14	 8	 3	 1	 4
ENSSSCG00000000263	 1	 4	 1	 0	 5	 1	 1	 3	 3	 2	 3	 0	 1	 1	 0	 3	 7	 1	 2	 6	 35	 0	 1	 2
