idpig,group,pen,testlng,line,diet,sex,onwt,onage,offage,offwt,offlma,offbf,adg,mwt,adfiq,idsire,iddam,gen,par,fe,fcr,onwtdev,offwtdev,onagedev,adgdev,bfdev,mwtdev,adgdev1,bfdev1,mwtdev1,onwtdev1,offwtdev1,onagedev1,adgdev2,bfdev2,mwtdev2,onwtdev2,offwtdev2,onagedev2,adgdev3,bfdev3,mwtdev3,onwtdev3,offwtdev3,onagedev3,adgdev4,bfdev4,mwtdev4,onwtdev4,offwtdev4,onagedev4,,rfi ADJUSTED,rfi1 adjust,rfi2 adjust,rfi3 adjust,rfi4 adjust,,rfi2
208000310,55,1,140,1,1,2,35.8276644,95,235,118.3673469,33.161224,28.448,0.612219201,25.41314517,2.045774477,107015901,107017008,8,2,0.299260357,3.341571898,-3.132335601,-6.54265306,-3.08,-0.047780799,6.008,-1.276854827,-0.257780799,13.208,-1.086854827,-4.172335601,0.36734694,5,-0.147780799,13.208,-2.336854827,-14.1723356,0.36734694,5,-0.257780799,9.398,-1.086854827,-4.172335601,0.36734694,5,-0.147780799,9.398,-2.336854827,-14.1723356,0.36734694,5,,-0.510255072,-0.511267752,-0.409112752,-0.464774752,-0.362619752,,-0.748277609
208001209,55,1,168,1,1,2,33.5600907,93,261,131.0657596,47.483776,31.75,0.566810876,26.03620138,2.024122409,107003401,107016907,8,2,0.280027964,3.571071928,-5.399909297,6.15575964,-5.08,-0.093189124,9.31,-0.653798619,-0.303189124,16.51,-0.463798619,-6.439909297,13.06575964,3,-0.193189124,16.51,-1.713798619,-16.4399093,13.06575964,3,-0.303189124,12.7,-0.463798619,-6.439909297,13.06575964,3,-0.193189124,12.7,-1.713798619,-16.4399093,13.06575964,3,,-0.446828507,-0.447841187,-0.345686187,-0.401348187,-0.299193187,,-0.697081696
208001411,55,1,140,1,1,2,34.46712018,92,232,124.7165533,53.806344,17.272,0.643817353,25.63371116,1.912342477,107017001,107010913,8,2,0.336664254,2.970318317,-4.492879819,-0.19344671,-6.08,-0.016182647,-5.168,-1.056288842,-0.226182647,2.032,-0.866288842,-5.532879819,6.71655329,2,-0.116182647,2.032,-2.116288842,-15.53287982,6.71655329,2,-0.226182647,-1.778,-0.866288842,-5.532879819,6.71655329,2,-0.116182647,-1.778,-2.116288842,-15.53287982,6.71655329,2,,-0.492291139,-0.493303819,-0.391148819,-0.446810819,-0.344655819,,-0.731322536
208001807,55,3,140,1,1,2,29.93197279,91,231,125.170068,37.161216,25.146,0.678214271,26.87769701,2.032154703,107010905,107015705,8,2,0.333741457,2.99633138,-9.02802721,0.26006803,-7.08,0.018214271,2.706,0.187697012,-0.191785729,9.906,0.377697012,-10.06802721,7.17006803,1,-0.081785729,9.906,-0.872302988,-20.06802721,7.17006803,1,-0.191785729,6.096,0.377697012,-10.06802721,7.17006803,1,-0.081785729,6.096,-0.872302988,-20.06802721,7.17006803,1,,-0.524189017,-0.525201697,-0.423046697,-0.478708697,-0.376553697,,-0.730161037
208001906,55,3,119,1,1,2,45.35147392,91,210,126.984127,44.064428,14.732,0.690329384,28.07440945,2.179557218,107000303,107016410,8,2,0.316729187,3.157271394,6.391473923,2.07412698,-7.08,0.030329384,-7.708,1.384409445,-0.179670616,-0.508,1.574409445,5.351473923,8.98412698,1,-0.069670616,-0.508,0.324409445,-4.648526077,8.98412698,1,-0.179670616,-4.318,1.574409445,5.351473923,8.98412698,1,-0.069670616,-4.318,0.324409445,-4.648526077,8.98412698,1,,-0.318815736,-0.319828416,-0.217673416,-0.273335416,-0.171180416,,-0.541833792
208002211,55,3,168,1,1,2,34.46712018,91,259,134.6938776,47.806356,29.972,0.58051309,27.41715656,2.203299548,107003401,107016906,8,2,0.263474429,3.795434742,-4.492879819,9.78387755,-7.08,-0.07948691,7.532,0.727156563,-0.28948691,14.732,0.917156563,-5.532879819,16.69387755,1,-0.17948691,14.732,-0.332843437,-15.53287982,16.69387755,1,-0.28948691,10.922,0.917156563,-5.532879819,16.69387755,1,-0.17948691,10.922,-0.332843437,-15.53287982,16.69387755,1,,-0.227896001,-0.228908681,-0.126753681,-0.182415681,-0.080260681,,-0.45902602
208002408,55,3,168,1,1,2,37.18820862,91,259,126.0770975,57.161176,10.668,0.523670836,27.23292669,1.761583336,107000303,107010911,8,2,0.297272814,3.363913389,-1.771791383,1.16709751,-7.08,-0.136329164,-11.772,0.542926693,-0.346329164,-4.572,0.732926693,-2.811791383,8.07709751,1,-0.236329164,-4.572,-0.517073307,-12.81179138,8.07709751,1,-0.346329164,-8.382,0.732926693,-2.811791383,8.07709751,1,-0.236329164,-8.382,-0.517073307,-12.81179138,8.07709751,1,,-0.330752139,-0.331764819,-0.229609819,-0.285271819,-0.183116819,,-0.546812594
208002507,55,5,140,1,1,2,34.46712018,91,231,120.6349206,26.45156,25.146,0.616428061,26.1209216,1.904824504,107011403,107017110,8,2,0.323614097,3.090100248,-4.492879819,-4.27507937,-7.08,-0.043571939,2.706,-0.569078401,-0.253571939,9.906,-0.379078401,-5.532879819,2.63492063,1,-0.143571939,9.906,-1.629078401,-15.53287982,2.63492063,1,-0.253571939,6.096,-0.379078401,-5.532879819,2.63492063,1,-0.143571939,6.096,-1.629078401,-15.53287982,2.63492063,1,,-0.71964918,-0.72066186,-0.61850686,-0.67416886,-0.57201386,,-0.942671487
208002807,55,5,168,1,1,2,30.38548753,90,258,114.2857143,47.032164,16.51,0.462918482,25.07664851,2.081839364,107010905,107011007,8,2,0.222360327,4.497205115,-8.574512472,-10.62428571,-8.08,-0.197081518,-5.93,-1.613351486,-0.407081518,1.27,-1.423351486,-9.614512472,-3.71428571,0,-0.297081518,1.27,-2.673351486,-19.61451247,-3.71428571,0,-0.407081518,-2.54,-1.423351486,-9.614512472,-3.71428571,0,-0.297081518,-2.54,-2.673351486,-19.61451247,-3.71428571,0,,-0.121273072,-0.122285752,-0.020130752,-0.075792752,0.026362248,,-0.337746445
208002909,55,5,168,1,1,2,31.74603175,90,258,139.2290249,52.838604,21.59,0.605005605,28.01922012,2.094686489,107015901,107000309,8,2,0.288828714,3.462259641,-7.213968254,14.31902494,-8.08,-0.054994395,-0.85,1.329220118,-0.264994395,6.35,1.519220118,-8.253968254,21.22902494,0,-0.154994395,6.35,0.269220118,-18.25396825,21.22902494,0,-0.264994395,2.54,1.519220118,-8.253968254,21.22902494,0,-0.154994395,2.54,0.269220118,-18.25396825,21.22902494,0,,-0.434414032,-0.435426712,-0.333271712,-0.388933712,-0.286778712,,-0.655505449
208003308,55,7,140,1,1,2,37.18820862,89,229,116.553288,49.096676,13.97,0.550109346,24.95244797,1.884480202,107000303,107010912,8,2,0.291915694,3.425646585,-1.771791383,-8.35671202,-9.08,-0.109890654,-8.47,-1.737552034,-0.319890654,-1.27,-1.547552034,-2.811791383,-1.44671202,-1,-0.209890654,-1.27,-2.797552034,-12.81179138,-1.44671202,-1,-0.319890654,-5.08,-1.547552034,-2.811791383,-1.44671202,-1,-0.209890654,-5.08,-2.797552034,-12.81179138,-1.44671202,-1,,-0.094610442,-0.095623122,0.006531878,-0.049130122,0.053024878,,-0.332820333
208003404,55,7,140,1,1,2,34.46712018,89,229,114.739229,55.677308,21.082,0.560619188,25.20762155,2.12407647,107017108,107016008,8,2,0.263935501,3.788804445,-4.492879819,-10.17077097,-9.08,-0.099380812,-1.358,-1.482378454,-0.309380812,5.842,-1.292378454,-5.532879819,-3.26077097,-1,-0.199380812,5.842,-2.542378454,-15.53287982,-3.26077097,-1,-0.309380812,2.032,-1.292378454,-5.532879819,-3.26077097,-1,-0.199380812,2.032,-2.542378454,-15.53287982,-3.26077097,-1,,-0.007613515,-0.008626195,0.093528805,0.037866805,0.140021805,,-0.234038794
208004210,55,9,119,1,1,2,39.00226757,87,206,123.8095238,35.612832,15.24,0.70567008,26.95164823,2.138101953,107000303,107011405,8,2,0.330045103,3.029888916,0.042267574,-1.10047619,-11.08,0.04567008,-7.2,0.261648233,-0.16432992,0,0.451648233,-0.997732426,5.80952381,-3,-0.05432992,0,-0.798351767,-10.99773243,5.80952381,-3,-0.16432992,-3.81,0.451648233,-0.997732426,5.80952381,-3,-0.05432992,-3.81,-0.798351767,-10.99773243,5.80952381,-3,,-0.330464069,-0.331476749,-0.229321749,-0.284983749,-0.182828749,,-0.554568435
208004306,55,9,140,1,1,2,27.66439909,87,227,117.9138322,50.838608,14.478,0.640653425,23.72728403,1.829794853,107017001,107001406,8,2,0.350123089,2.856138407,-11.29560091,-6.9961678,-11.08,-0.019346575,-7.962,-2.962715975,-0.229346575,-0.762,-2.772715975,-12.33560091,-0.0861678,-3,-0.119346575,-0.762,-4.022715975,-22.33560091,-0.0861678,-3,-0.229346575,-4.572,-2.772715975,-12.33560091,-0.0861678,-3,-0.119346575,-4.572,-4.022715975,-22.33560091,-0.0861678,-3,,-0.343340019,-0.344352699,-0.242197699,-0.297859699,-0.195704699,,-0.5821844
208004408,55,9,119,1,1,2,43.53741497,87,206,134.6938776,46.064424,15.494,0.752601106,28.18141546,2.471544823,107000303,107000205,8,2,0.304506355,3.284003707,4.577414966,9.78387755,-11.08,0.092601106,-6.946,1.491415455,-0.117398894,0.254,1.681415455,3.537414966,16.69387755,-3,-0.007398894,0.254,0.431415455,-6.462585034,16.69387755,-3,-0.117398894,-3.556,1.681415455,3.537414966,16.69387755,-3,-0.007398894,-3.556,0.431415455,-6.462585034,16.69387755,-3,,-0.084781616,-0.085794296,0.016360704,-0.039301296,0.062853704,,-0.320941133
208004509,55,9,168,1,1,2,29.47845805,87,255,119.2743764,54.709568,17.526,0.527263961,25.49505772,1.704467509,107015901,107000307,8,2,0.309342336,3.232664541,-9.48154195,-5.63562358,-11.08,-0.13273604,-4.914,-1.194942283,-0.34273604,2.286,-1.004942283,-10.52154195,1.27437642,-3,-0.23273604,2.286,-2.254942283,-20.52154195,1.27437642,-3,-0.34273604,-1.524,-1.004942283,-10.52154195,1.27437642,-3,-0.23273604,-1.524,-2.254942283,-20.52154195,1.27437642,-3,,-0.4214465,-0.42245918,-0.32030418,-0.37596618,-0.27381118,,-0.641086715
208004810,55,12,168,1,1,2,26.75736961,85,253,133.7868481,53.096668,32.512,0.609877721,26.93492631,2.228430962,107010905,107010008,8,2,0.27368033,3.653897966,-12.20263039,8.87684807,-13.08,-0.05012228,10.072,0.244926309,-0.26012228,17.272,0.434926309,-13.24263039,15.78684807,-5,-0.15012228,17.272,-0.815073691,-23.24263039,15.78684807,-5,-0.26012228,13.462,0.434926309,-13.24263039,15.78684807,-5,-0.15012228,13.462,-0.815073691,-23.24263039,15.78684807,-5,,-0.252077188,-0.253089868,-0.150934868,-0.206596868,-0.104441868,,-0.473157589
208004910,55,12,168,1,1,2,34.46712018,85,253,139.6825397,56.967628,21.844,0.596465887,27.87149571,2.209386751,107016901,107015511,8,2,0.26996898,3.704129273,-4.492879819,14.77253968,-13.08,-0.063534113,-0.596,1.18149571,-0.273534113,6.604,1.37149571,-5.532879819,21.68253968,-5,-0.163534113,6.604,0.12149571,-15.53287982,21.68253968,-5,-0.273534113,2.794,1.37149571,-5.532879819,21.68253968,-5,-0.163534113,2.794,0.12149571,-15.53287982,21.68253968,-5,,-0.109611659,-0.110624339,-0.008469339,-0.064131339,0.038023661,,-0.341647548
208005010,55,12,168,1,1,2,29.02494331,85,253,134.6938776,60.386976,17.272,0.615865783,26.65270472,2.098831906,107017108,107000305,8,2,0.293432638,3.407937189,-9.93505669,9.78387755,-13.08,-0.044134217,-5.168,-0.037295282,-0.254134217,2.032,0.152704718,-10.97505669,16.69387755,-5,-0.144134217,2.032,-1.097295282,-20.97505669,16.69387755,-5,-0.254134217,-1.778,0.152704718,-10.97505669,16.69387755,-5,-0.144134217,-1.778,-1.097295282,-20.97505669,16.69387755,-5,,-0.137581843,-0.138594523,-0.036439523,-0.092101523,0.010053478,,-0.364176336
208000302,55,1,140,1,1,3,32.65306122,95,235,124.2630386,43.354752,26.67,0.6496837,26.7597755,2.141870126,107015901,107017008,8,2,0.303325441,3.296789079,-6.306938776,-0.64696145,-3.08,-0.0103163,4.23,0.069775504,-0.2203163,11.43,0.259775504,-7.346938776,6.26303855,5,-0.1103163,11.43,-0.990224496,-17.34693878,6.26303855,5,-0.2203163,7.62,0.259775504,-7.346938776,6.26303855,5,-0.1103163,7.62,-0.990224496,-17.34693878,6.26303855,5,,-0.488358619,-0.489371299,-0.387216299,-0.442878299,-0.340723299,,-0.706597258
208000504,55,3,140,1,1,3,37.64172336,94,234,118.3673469,33.999932,27.178,0.580026402,26.12971146,2.034739597,107010905,107011804,8,2,0.285061736,3.508012029,-1.318276644,-6.54265306,-4.08,-0.079973598,4.738,-0.560288541,-0.289973598,11.938,-0.370288541,-2.358276644,0.36734694,4,-0.179973598,11.938,-1.620288541,-12.35827664,0.36734694,4,-0.289973598,8.128,-0.370288541,-2.358276644,0.36734694,4,-0.179973598,8.128,-1.620288541,-12.35827664,0.36734694,4,,-0.396574359,-0.397587039,-0.295432039,-0.351094039,-0.248939039,,-0.62226891
208000602,55,3,119,1,1,3,34.01360544,93,212,120.1814059,44.128944,29.718,0.703361847,26.75810516,2.638111366,107011403,107003408,8,2,0.266615677,3.750717186,-4.946394558,-4.7285941,-5.08,0.043361847,7.278,0.068105157,-0.166638153,14.478,0.258105157,-5.986394558,2.1814059,3,-0.056638153,14.478,-0.991894843,-15.98639456,2.1814059,3,-0.166638153,10.668,0.258105157,-5.986394558,2.1814059,3,-0.056638153,10.668,-0.991894843,-15.98639456,2.1814059,3,,-0.066169085,-0.067181765,0.034973235,-0.020688765,0.081466235,,-0.275326208
208000901,55,1,119,1,1,3,35.8276644,93,212,121.5419501,41.032176,21.082,0.725536986,25.65110173,2.279011131,107015901,107004304,8,2,0.318356052,3.141137081,-3.132335601,-3.36804989,-5.08,0.065536986,-1.358,-1.038898274,-0.144463014,5.842,-0.848898274,-4.172335601,3.54195011,3,-0.034463014,5.842,-2.098898274,-14.1723356,3.54195011,3,-0.144463014,2.032,-0.848898274,-4.172335601,3.54195011,3,-0.034463014,2.032,-2.098898274,-14.1723356,3.54195011,3,,-0.351280224,-0.352292904,-0.250137904,-0.305799904,-0.203644904,,-0.587086684
208001204,55,1,119,1,1,3,36.28117914,93,212,125.6235828,31.870904,30.988,0.747851563,27.07429697,2.519840191,107003401,107016907,8,2,0.296785314,3.369438957,-2.678820862,0.71358277,-5.08,0.087851563,8.548,0.384296968,-0.122148437,15.748,0.574296968,-3.718820862,7.62358277,3,-0.012148437,15.748,-0.675703032,-13.71882086,7.62358277,3,-0.122148437,11.938,0.574296968,-3.718820862,7.62358277,3,-0.012148437,11.938,-0.675703032,-13.71882086,7.62358277,3,,-0.359751378,-0.360764058,-0.258609058,-0.314271058,-0.212116058,,-0.585037076
208001403,55,1,168,1,1,3,34.01360544,92,260,129.7052154,55.677308,23.622,0.591875721,26.49855527,1.888027739,107017001,107010913,8,2,0.31348889,3.189905706,-4.946394558,4.79521542,-6.08,-0.068124279,1.182,-0.191444728,-0.278124279,8.382,-0.001444728,-5.986394558,11.70521542,2,-0.168124279,8.382,-1.251444728,-15.98639456,11.70521542,2,-0.278124279,4.572,-0.001444728,-5.986394558,11.70521542,2,-0.168124279,4.572,-1.251444728,-15.98639456,11.70521542,2,,-0.540790887,-0.541803567,-0.439648567,-0.495310567,-0.393155567,,-0.777924004
208001802,55,3,119,1,1,3,33.5600907,91,210,125.6235828,36.064444,27.178,0.76569191,26.38040542,2.394065759,107010905,107015705,8,2,0.319829105,3.126669786,-5.399909297,0.71358277,-7.08,0.10569191,4.738,-0.309594577,-0.104308091,11.938,-0.119594577,-6.439909297,7.62358277,1,0.00569191,11.938,-1.369594577,-16.4399093,7.62358277,1,-0.104308091,8.128,-0.119594577,-6.439909297,7.62358277,1,0.00569191,8.128,-1.369594577,-16.4399093,7.62358277,1,,-0.314922332,-0.315935012,-0.213780012,-0.269442012,-0.167287012,,-0.538554094
208002203,55,7,140,1,1,3,35.37414966,91,231,133.3333333,24.709628,40.132,0.666993279,27.77420281,2.89239082,107003401,107016906,8,2,0.230602751,4.336461721,-3.58585034,8.42333333,-7.08,0.006993279,17.692,1.084202806,-0.203006722,24.892,1.274202806,-4.62585034,15.33333333,1,-0.093006722,24.892,0.024202806,-14.62585034,15.33333333,1,-0.203006722,21.082,1.274202806,-4.62585034,15.33333333,1,-0.093006722,21.082,0.024202806,-14.62585034,15.33333333,1,,0.259857224,0.258844544,0.360999544,0.305337544,0.407492544,,0.030268787
208002403,55,3,119,1,1,3,39.45578231,91,210,117.9138322,45.1612,23.114,0.653334504,26.90610747,2.163120985,107000303,107010911,8,2,0.30203327,3.310893536,0.495782313,-6.9961678,-7.08,-0.006665496,0.674,0.216107465,-0.216665496,7.874,0.406107465,-0.544217687,-0.0861678,1,-0.106665496,7.874,-0.843892535,-10.54421769,-0.0861678,1,-0.216665496,4.064,0.406107465,-0.544217687,-0.0861678,1,-0.106665496,4.064,-0.843892535,-10.54421769,-0.0861678,1,,-0.385691351,-0.386704031,-0.284549031,-0.340211031,-0.238056031,,-0.599501199
208002503,55,5,140,1,1,3,30.83900227,91,231,120.6349206,35.548316,34.29,0.616119637,26.18993795,2.425170731,107011403,107017110,8,2,0.254052067,3.936200999,-8.120997732,-4.27507937,-7.08,-0.043880363,11.85,-0.500062052,-0.253880363,19.05,-0.310062052,-9.160997732,2.63492063,1,-0.143880363,19.05,-1.560062052,-19.16099773,2.63492063,1,-0.253880363,15.24,-0.310062052,-9.160997732,2.63492063,1,-0.143880363,15.24,-1.560062052,-19.16099773,2.63492063,1,,-0.338399436,-0.339412116,-0.237257116,-0.292919116,-0.190764116,,-0.555245502
